,,,
County,Trump,Clinton ,FIPS
Alachua,"46,584","75,370",12001
Baker,"10,294","2,112",12003
Bay,"62,010","21,689",12005
Bradford,"8,913","2,924",12007
Brevard,"181,620","119,525",12009
Broward,"258,521","546,956",12011
Calhoun,"4,647","1,236",12013
Charlotte,"60,196","33,421",12015
Citrus,"54,377","22,765",12017
Clay,"74,898","27,768",12019
Collier,"105,297","60,941",12021
Columbia,"20,359","7,599",12023
DeSoto,"6,744","3,761",12025
Dixie,"5,822","1,270",12027
Duval,"210,061","203,627",12029
Escambia,"88,370","57,114",12031
Flagler,"33,804","21,985",12033
Franklin,"4,119","1,738",12035
Gadsden,"6,721","14,994",12037
Gilchrist,"6,740","1,457",12039
Glades,"2,996","1,271",12041
Gulf,"5,320","1,715",12043
Hamilton,"3,439","1,899",12045
Hardee,"5,238","2,147",12047
Hendry,"6,192","4,610",12049
Hernando,"59,029","31,818",12051
Highlands,"29,509","14,901",12053
Hillsborough,"265,928","306,422",12055
Holmes,"7,476",852,12057
Indian River,"48,564","28,997",12059
Jackson,"14,231","6,383",12061
Jefferson,"3,930","3,537",12063
Lafayette,"2,795",515,12065
Lake,"101,888","62,597",12067
Lee,"191,141","124,725",12069
Leon,"53,777","91,936",12071
Levy,"13,758","5,091",12073
Liberty,"2,542",651,12075
Madison,"4,849","3,526",12077
Manatee,"101,681","71,066",12079
Marion,"107,710","61,958",12081
Martin,"53,182","30,158",12083
Miami-Dade,"333,666","623,006",12085
Monroe,"21,885","18,949",12087
Nassau,"34,221","10,849",12089
Okaloosa,"71,788","23,711",12091
Okeechobee,"9,342","3,953",12093
Orange,"195,091","329,579",12095
Osceola,"50,252","85,287",12097
Palm Beach,"270,762","371,411",12099
Pasco,"141,943","89,998",12101
Pinellas,"238,746","233,327",12103
Polk,"157,216","117,182",12105
Putnam,"21,873","9,920",12107
Santa Rosa,"65,126","18,398",12109
Sarasota,"124,098","97,676",12111
Seminole,"109,265","105,611",12113
St. Johns,"88,633","43,037",12115
St. Lucie,"70,248","66,812",12117
Sumter,"52,722","22,631",12119
Suwannee,"14,281","3,955",12121
Taylor,"6,923","2,149",12123
Union,"4,567","1,014",12125
Volusia,"142,763","108,793",12127
Wakulla,"10,507","4,348",12129
Walton,"25,695","6,861",12131
Washington,"8,630","2,261",12133
