County,Trump,Clinton,FIPS
Appling,"5,492","1,434",13001
Atkinson,"1,873",696,13003
Bacon,"3,356",607,13005
Baker,775,650,13007
Baldwin,"7,691","7,965",13009
Banks,"6,130",684,13011
Barrow,"21,105","6,580",13013
Bartow,"29,879","8,204",13015
Ben Hill,"3,734","2,098",13017
Berrien,"5,408","1,041",13019
Bibb,"22,589","34,383",13021
Bleckley,"3,717","1,094",13023
Brantley,"5,561",619,13025
Brooks,"3,679","2,504",13027
Bryan,"10,513","4,010",13029
Bulloch,"14,476","8,812",13031
Burke,"4,491","4,730",13033
Butts,"6,717","2,566",13035
Calhoun,829,"1,178",13037
Camden,"12,287","5,914",13039
Candler,"2,661","1,023",13041
Carroll,"29,983","12,422",13043
Catoosa,"20,860","4,769",13045
Charlton,"2,950","1,004",13047
Chatham,"43,649","58,998",13049
Chattahoochee,746,593,13051
Chattooga,"6,457","1,612",13053
Cherokee,"80,611","25,203",13055
Clarke,"12,691","29,514",13057
Clay,566,697,13059
Clayton,"11,740","75,908",13061
Clinch,"1,724",685,13063
Cobb,"152,602","159,416",13065
Coffee,"9,575","4,090",13067
Colquitt,"9,892","3,460",13069
Columbia,"43,060","18,863",13071
Cook,"4,175","1,752",13073
Coweta,"42,513","16,572",13075
Crawford,"3,632","1,419",13077
Crisp,"4,539","2,835",13079
Dade,"5,047",965,13081
Dawson,"9,880","1,444",13083
Decatur,"6,009","4,104",13085
DeKalb,"47,531","239,131",13087
Dodge,"5,021","1,836",13089
Dooly,"1,941","1,860",13091
Dougherty,"10,227","23,224",13093
Douglas,"24,803","30,971",13095
Early,"2,552","2,165",13097
Echols,"1,006",156,13099
Effingham,"17,865","4,851",13101
Elbert,"5,269","2,507",13103
Emanuel,"5,330","2,433",13105
Evans,"2,404","1,130",13107
Fannin,"9,622","1,920",13109
Fayette,"35,034","23,255",13111
Floyd,"24,045","9,127",13113
Forsyth,"69,801","23,427",13115
Franklin,"7,054","1,243",13117
Fulton,"110,372","281,875",13119
Gilmer,"10,465","1,955",13121
Glascock,"1,235",138,13123
Glynn,"21,482","11,738",13125
Gordon,"15,171","3,176",13127
Grady,"6,047","3,005",13129
Greene,"5,488","3,194",13131
Gwinnett,"146,463","165,063",13133
Habersham,"13,184","2,483",13135
Hall,"51,681","16,153",13137
Hancock,841,"2,695",13139
Haralson,"9,579","1,474",13141
Harris,"11,931","4,082",13143
Hart,"7,285","2,583",13145
Heard,"3,370",743,13147
Henry,"45,641","49,902",13149
Houston,"35,351","22,460",13151
Irwin,"2,711",890,13153
Jackson,"21,754","4,469",13155
Jasper,"4,353","1,544",13157
Jeff Davis,"4,102",901,13159
Jefferson,"3,057","3,809",13161
Jenkins,"1,892","1,108",13163
Johnson,"2,519","1,136",13165
Jones,"8,304","3,960",13167
Lamar,"5,183","2,267",13169
Lanier,"1,984",805,13171
Laurens,"12,401","6,737",13173
Lee,"10,641","3,166",13175
Liberty,"6,125","9,531",13177
Lincoln,"2,759","1,271",13179
Long,"2,623","1,356",13181
Lowndes,"21,308","14,614",13183
Lumpkin,"9,613","2,216",13185
Macon,"1,540","2,705",13187
Madison,"9,195","2,423",13189
Marion,"1,921","1,213",13191
McDuffie,"5,432","3,699",13193
McIntosh,"3,482","2,298",13195
Meriwether,"5,216","3,800",13197
Miller,"1,888",622,13199
Mitchell,"4,272","3,492",13201
Monroe,"8,821","3,570",13203
Montgomery,"2,668",847,13205
Morgan,"6,559","2,658",13207
Murray,"10,340","1,799",13209
Muscogee,"26,901","39,602",13211
Newton,"20,907","21,936",13213
Oconee,"12,885","5,253",13215
Oglethorpe,"4,622","1,829",13217
Paulding,"44,646","18,004",13219
Peach,"5,405","5,083",13221
Pickens,"11,651","1,977",13223
Pierce,"6,301",903,13225
Pike,"7,273","1,239",13227
Polk,"11,006","2,863",13229
Pulaski,"2,436","1,104",13231
Putnam,"6,516","2,745",13233
Quitman,575,461,13235
Rabun,"6,287","1,443",13237
Randolph,"1,270","1,597",13239
Richmond,"24,441","48,707",13241
Rockdale,"13,463","23,206",13243
Schley,"1,472",401,13245
Screven,"3,305","2,300",13247
Seminole,"2,343","1,186",13249
Spalding,"15,636","9,347",13251
Stephens,"7,682","1,835",13253
Stewart,805,"1,220",13255
Sumter,"5,275","5,520",13257
Talbot,"1,196","2,001",13259
Taliaferro,349,545,13261
Tattnall,"5,092","1,678",13263
Taylor,"2,062","1,295",13265
Telfair,"2,449","1,313",13267
Terrell,"1,872","2,267",13269
Thomas,"11,225","7,138",13271
Tift,"8,680","3,892",13273
Toombs,"6,612","2,338",13275
Towns,"5,377","1,206",13277
Treutlen,"1,808",860,13279
Troup,"15,643","9,597",13281
Turner,"2,094","1,243",13283
Twiggs,"2,034","1,970",13285
Union,"9,849","1,962",13287
Upson,"7,288","3,471",13289
Walker,"18,938","4,213",13291
Walton,"31,093","8,279",13293
Ware,"8,508","3,436",13295
Warren,991,"1,313",13297
Washington,"4,138","4,187",13299
Wayne,"8,147","2,039",13301
Webster,630,471,13303
Wheeler,"1,421",646,13305
White,"9,751","1,672",13307
Whitfield,"21,514","7,925",13309
Wilcox,"2,096",852,13311
Wilkes,"2,569","1,844",13313
Wilkinson,"2,332","1,893",13315
Worth,"6,144","2,015",13317
