County,Clinton,Trump,FIPS
Carson City,"9,610","13,125",32510
Churchill,"2,210","7,828",32001
Clark,"401,068","319,571",32003
Douglas,"8,453","17,406",32005
Elko,"3,400","13,542",32007
Esmeralda,65,329,32009
Eureka,74,723,32011
Humboldt,"1,386","4,521",32013
Lander,403,"1,828",32015
Lincoln,285,"1,671",32017
Lyon,"6,146","16,005",32019
Mineral,637,"1,179",32021
Nye,"5,095","13,320",32023
Pershing,430,"1,403",32025
Storey,752,"1,616",32027
Washoe,"97,032","94,529",32029
White Pine,707,"2,723",32031
