County,Trump,Clinton,FIPS
Cuyahoga,"179,894","383,974",39001
Franklin,"192,328","335,961",39003
Hamilton,"169,972","207,587",39003
Summit,"109,531","129,922",39005
Montgomery,"120,766","117,661",39007
Lucas,"74,102","107,363",39009
Stark,"96,345","66,581",39011
Butler,"104,441","56,700",39013
Lorain,"65,346","64,958",39015
Warren,"75,947","33,036",39017
Mahoning,"52,808","56,188",39019
Lake,"62,627","45,056",39021
Delaware,"55,660","39,584",39023
Clermont,"65,960","26,096",39025
Trumbull,"48,152","42,130",39027
Medina,"53,811","31,582",39029
Greene,"47,506","28,023",39031
Licking,"49,346","26,360",39033
Portage,"38,978","31,463",39035
Fairfield,"43,163","24,150",39037
Wood,"31,734","26,440",39039
Clark,"34,311","22,666",39041
Richland,"35,805","15,629",39043
Miami,"36,311","12,832",39045
Geauga,"29,577","17,165",39047
Wayne,"31,622","14,670",39049
Columbiana,"31,086","12,273",39051
Allen,"29,858","12,815",39053
Tuscarawas,"26,105","11,895",39055
Ashtabula,"22,755","15,191",39057
Erie,"19,301","15,692",39059
Muskingum,"23,588","10,926",39061
Hancock,"23,777","9,419",39063
Jefferson,"20,668","9,483",39065
Belmont,"20,729","8,652",39067
Scioto,"19,742","8,841",39069
Washington,"19,901","7,841",39071
Ross,"17,833","9,905",39073
Athens,"10,816","15,552",39075
Knox,"18,563","7,959",39077
Sandusky,"16,045","9,733",39079
Union,"17,601","7,530",39081
Lawrence,"18,240","6,849",39083
Marion,"16,563","7,748",39085
Darke,"19,698","4,395",39087
Huron,"15,930","7,080",39089
Ashland,"17,169","5,659",39091
Pickaway,"16,482","6,325",39093
Seneca,"14,559","7,237",39095
Shelby,"18,148","4,143",39097
Auglaize,"18,130","3,825",39099
Ottawa,"12,389","8,136",39101
Mercer,"17,200","3,335",39103
Logan,"15,586","4,537",39105
Fulton,"13,419","5,981",39107
Preble,"15,376","4,323",39109
Brown,"14,257","4,270",39111
Crawford,"13,265","4,518",39113
Putnam,"14,704","2,874",39115
Clinton,"13,466","3,943",39117
Defiance,"11,478","5,282",39119
Champaign,"12,314","4,488",39121
Highland,"13,005","3,436",39123
Williams,"11,706","4,287",39125
Madison,"11,319","4,662",39127
Morrow,"11,722","3,711",39129
Guernsey,"11,164","4,286",39131
Coshocton,"10,381","3,908",39133
Perry,"9,978","4,072",39135
Henry,"9,136","3,690",39137
Van Wert,"10,328","2,667",39139
Jackson,"9,618","3,142",39141
Carroll,"9,067","3,124",39143
Gallia,"9,567","2,564",39145
Hocking,"8,282","3,713",39147
Hardin,"8,541","2,870",39149
Pike,"7,669","3,443",39151
Adams,"8,445","2,293",39153
Holmes,"8,578","1,766",39155
Fayette,"7,763","2,672",39157
Wyandot,"7,346","2,484",39159
Meigs,"6,869","2,157",39161
Paulding,"6,359","2,068",39163
Harrison,"5,021","1,663",39165
Monroe,"4,781","1,647",39167
Morgan,"4,315","1,711",39169
Noble,"4,441","1,201",39171
Vinton,"3,799","1,332",39173
