County,Trump,Clinton,FIPS
Harris,"544,960","706,471",48001
Dallas,"261,865","458,845",48003
Tarrant,"345,683","288,001",48005
Bexar,"240,161","319,191",48007
Travis,"126,750","306,475",48009
Collin,"200,395","139,837",48011
Denton,"169,175","110,000",48013
Fort Bend,"117,212","134,475",48015
El Paso,"54,567","145,509",48017
Montgomery,"150,188","45,744",48019
Williamson,"104,029","84,252",48021
Hidalgo,"48,608","118,739",48023
Galveston,"73,566","45,503",48025
Brazoria,"72,653","43,075",48027
Nueces,"50,704","49,102",48029
Lubbock,"65,566","27,956",48031
Bell,"51,780","37,608",48033
Cameron,"29,432","59,319",48035
Jefferson,"42,828","42,404",48037
Smith,"58,631","22,128",48039
McLennan,"48,245","27,046",48041
Hays,"33,730","33,117",48043
Brazos,"38,662","23,041",48045
Ellis,"44,807","16,197",48047
Comal,"44,996","14,166",48049
Johnson,"44,370","10,976",48051
Guadalupe,"36,495","18,308",48053
Webb,"12,946","42,297",48055
Parker,"46,433","8,329",48057
Randall,"43,379","8,340",48059
Midland,"36,896","9,993",48061
Grayson,"35,274","10,276",48063
Taylor,"33,172","10,047",48065
Gregg,"28,693","11,623",48067
Kaufman,"29,537","10,265",48069
Rockwall,"28,396","9,633",48071
Tom Green,"27,376","9,117",48073
Wichita,"27,609","8,752",48075
Ector,"24,976","10,225",48077
Bowie,"24,913","8,831",48079
Polk,"26,587","7,123",48081
Orange,"25,385","5,716",48083
Hunt,"23,866","6,301",48085
Victoria,"21,253","8,843",48087
Angelina,"21,666","7,538",48089
Henderson,"23,574","5,649",48091
Potter,"19,499","7,620",48093
Bastrop,"16,314","10,555",48095
Harrison,"18,712","7,130",48097
Hood,"21,367","4,001",48099
Wise,"20,655","3,412",48101
Liberty,"18,856","4,851",48103
Kerr,"17,658","4,665",48105
Hardin,"19,600","2,779",48107
Nacogdoches,"14,751","6,822",48109
Van Zandt,"18,436","2,792",48111
San Patricio,"13,004","7,825",48113
Kendall,"15,663","3,633",48115
Walker,"12,878","6,085",48117
Wilson,"13,991","4,790",48119
Burnet,"14,595","3,785",48121
Rusk,"14,675","3,935",48123
Wood,"15,681","2,624",48125
Lamar,"14,546","3,579",48127
Coryell,"12,212","5,057",48129
Medina,"12,054","4,624",48131
Anderson,"13,165","3,358",48133
Waller,"10,525","5,744",48135
Cherokee,"12,896","3,466",48137
Chambers,"13,278","2,939",48139
Navarro,"11,984","3,998",48141
Upshur,"13,198","2,378",48143
Cooke,"13,174","2,345",48145
Washington,"10,944","3,381",48147
Wharton,"10,149","4,238",48149
Brown,"12,010","1,621",48151
Erath,"11,205","2,159",48153
Atascosa,"8,598","4,635",48155
Maverick,"2,816","10,397",48157
Hopkins,"10,704","2,508",48159
Val Verde,"5,856","6,920",48161
Jasper,"10,578","2,582",48163
Gillespie,"10,445","2,286",48165
Hill,"10,075","2,535",48167
Jim Wells,"5,411","6,688",48169
Austin,"9,637","2,319",48171
Fannin,"9,536","2,123",48173
Matagorda,"8,147","3,357",48175
Caldwell,"6,516","4,663",48177
Starr,"2,218","9,246",48179
Cass,"9,182","2,250",48181
Fayette,"8,648","2,127",48183
Aransas,"7,730","2,458",48185
Panola,"8,445","1,835",48187
Llano,"8,283","1,825",48189
San Jacinto,"8,050","2,034",48191
Bandera,"8,159","1,726",48193
Palo Pinto,"8,222","1,700",48195
Grimes,"7,065","2,194",48197
Kleberg,"4,364","4,713",48199
Titus,"6,405","2,538",48201
Shelby,"7,171","1,757",48203
Uvalde,"4,828","3,863",48205
Hale,"6,347","2,090",48207
Howard,"6,635","1,768",48209
La Vaca,"7,339","1,170",48211
Milam,"6,340","2,042",48213
Montague,"7,526",885,48215
Colorado,"6,323","1,977",48217
Bee,"4,743","3,443",48219
Houston,"6,205","1,978",48221
Lampasas,"6,371","1,479",48223
Hutchinson,"7,039",854,48225
Tyler,"6,601","1,243",48227
Bosque,"6,325","1,277",48229
Young,"6,587",873,48231
Limestone,"5,747","1,748",48233
Freestone,"5,995","1,461",48235
Leon,"6,391",909,48237
Gray,"6,495",699,48239
Hockley,"5,793","1,257",48241
Robertson,"4,665","2,203",48243
Calhoun,"4,638","2,118",48245
Burleson,"5,316","1,491",48247
Eastland,"6,008",776,48249
De Witt,"5,510","1,161",48251
Lee,"4,996","1,372",48253
Gonzales,"4,580","1,567",48255
Trinity,"4,737","1,154",48257
Jones,"4,815",935,48259
Blanco,"4,212","1,244",48261
Callahan,"4,858",568,48263
Jackson,"4,266",904,48265
Moore,"3,974","1,096",48267
Scurry,"4,403",733,48269
Falls,"3,438","1,682",48271
Comanche,"4,300",788,48273
Red River,"3,924","1,148",48275
Willacy,"1,541","3,416",48277
Clay,"4,376",536,48279
Morris,"3,443","1,425",48281
Andrews,"3,925",836,48283
Nolan,"3,551","1,029",48285
Sabine,"3,992",614,48287
Rains,"3,919",619,48289
Gaines,"3,907",597,48291
Camp,"3,201","1,260",48293
Franklin,"3,583",665,48295
Madison,"3,349",881,48297
Archer,"3,785",394,48299
Live Oak,"3,450",739,48301
Brewster,"2,073","1,869",48303
Marion,"2,968","1,156",48305
Deaf Smith,"2,911","1,185",48307
Karnes,"2,959","1,144",48309
Pecos,"2,463","1,551",48311
Duval,"1,316","2,783",48313
Wilbarger,"3,166",807,48315
Newton,"2,961",978,48317
Lamb,"3,040",770,48319
Somervell,"3,206",540,48321
Runnels,"3,241",452,48323
Goliad,"2,618",973,48325
Coleman,"3,177",387,48327
Hamilton,"3,056",479,48329
San Augustine,"2,620",907,48331
Dawson,"2,636",835,48333
Stephens,"3,033",348,48335
Ward,"2,541",780,48337
Zavala,692,"2,633",48339
Jack,"2,973",314,48341
Dimmit,974,"2,173",48343
Reeves,"1,417","1,659",48345
Zapata,"1,028","2,056",48347
McCulloch,"2,546",480,48349
Ochiltree,"2,628",274,48351
Carson,"2,617",249,48353
Refugio,"1,830","1,034",48355
Parmer,"1,911",848,48357
Frio,"1,232","1,401",48359
Brooks,613,"1,937",48361
San Saba,"2,025",293,48363
Wheeler,"2,087",194,48365
Yoakum,"1,797",426,48367
Delta,"1,836",400,48369
Mills,"1,949",242,48371
Presidio,652,"1,458",48373
Mitchell,"1,780",353,48375
Swisher,"1,671",462,48377
Jim Hogg,430,"1,635",48379
Childress,"1,802",253,48381
Mason,"1,656",353,48383
La Salle,870,"1,125",48385
Lynn,"1,546",403,48387
Castro,"1,413",526,48389
Floyd,"1,473",435,48391
Hansford,"1,730",171,48393
Hartley,"1,727",172,48395
Kimble,"1,697",206,48397
Winkler,"1,403",420,48399
Bailey,"1,343",397,48401
Haskell,"1,403",314,48403
Terry,"1,295",424,48405
Martin,"1,453",266,48407
Fisher,"1,265",403,48409
Crosby,"1,180",468,48411
Hemphill,"1,460",181,48413
Real,"1,382",262,48415
Dallam,"1,258",222,48417
Hardeman,"1,207",249,48419
Shackelford,"1,378",103,48421
Baylor,"1,267",191,48423
Garza,"1,223",224,48425
Donley,"1,225",190,48427
Kinney,936,457,48429
Coke,"1,265",140,48431
Sutton,"1,075",313,48433
Crockett,980,372,48435
Crane,"1,047",299,48437
Knox,"1,078",247,48439
Lipscomb,"1,159",135,48441
Upton,961,284,48443
Jeff Davis,694,422,48445
Collingsworth,983,145,48447
Hall,891,164,48449
Concho,885,148,48451
Edwards,741,302,48453
Schleicher,819,209,48455
Armstrong,924,70,48457
Oldham,850,78,48459
Sherman,807,96,48461
Dickens,755,128,48463
Cochran,679,190,48465
Reagan,709,167,48467
Hudspeth,503,324,48469
Menard,681,153,48471
Throckmorton,715,84,48473
Culberson,280,454,48475
Irion,660,90,48477
Briscoe,625,91,48479
Stonewall,555,135,48481
Sterling,549,70,48483
Motley,571,40,48485
Glasscock,553,34,48487
Cottle,486,84,48489
Roberts,524,20,48491
Foard,383,113,48493
McMullen,454,40,48495
Terrell,287,140,48497
Kent,360,59,48499
Borden,330,31,48501
Kenedy,84,99,48503
King,149,5,48505
Loving,57,4,48507
