State Postal,County Name,FIPS,Obama,ObamaPct,Romney,RomneyPct
AK,Alaska,0,91696,42,121234,55
AK,Alaska,2000,91696,42,121234,55
AL,Alabama,0,793620,38,1252453,61
AL,Autauga,1001,6354,27,17366,73
AL,Baldwin,1003,18329,22,65772,77
AL,Barbour,1005,5873,51,5539,48
AL,Bibb,1007,2200,26,6131,73
AL,Blount,1009,2961,12,20741,87
AL,Bullock,1011,4058,76,1250,24
AL,Butler,1013,4367,46,5081,54
AL,Calhoun,1015,15500,34,30272,66
AL,Chambers,1017,6853,47,7596,52
AL,Cherokee,1019,2126,22,7494,77
AL,Chilton,1021,3391,20,13910,80
AL,Choctaw,1023,3785,48,4150,52
AL,Clarke,1025,6317,46,7463,54
AL,Clay,1027,1770,27,4802,72
AL,Cleburne,1029,971,15,5269,84
AL,Coffee,1031,4899,25,14638,74
AL,Colbert,1033,9160,39,13931,60
AL,Conecuh,1035,3551,51,3434,49
AL,Coosa,1037,2188,42,3028,58
AL,Covington,1039,3155,21,12148,79
AL,Crenshaw,1041,2048,32,4326,68
AL,Cullman,1043,4855,15,27930,84
AL,Dale,1045,5283,29,13105,71
AL,Dallas,1047,14599,70,6284,30
AL,DeKalb,1049,5235,22,18316,77
AL,Elmore,1051,8940,25,26223,74
AL,Escambia,1053,5476,37,9263,63
AL,Etowah,1055,12792,30,29102,69
AL,Fayette,1057,1803,23,6034,76
AL,Franklin,1059,3171,29,7567,70
AL,Geneva,1061,2039,18,9173,81
AL,Greene,1063,4514,85,799,15
AL,Hale,1065,5401,63,3205,37
AL,Henry,1067,3046,35,5605,64
AL,Houston,1069,12348,30,29214,70
AL,Jackson,1071,5817,28,14422,70
AL,Jefferson,1073,159658,53,141413,47
AL,Lamar,1075,1643,23,5453,76
AL,Lauderdale,1077,12504,34,23902,65
AL,Lawrence,1079,5055,36,8855,63
AL,Lee,1081,21274,39,32062,59
AL,Limestone,1083,9809,28,25263,71
AL,Lowndes,1085,5747,76,1754,23
AL,Macon,1087,9045,87,1322,13
AL,Madison,1089,61802,40,90679,59
AL,Marengo,1091,6154,54,5321,46
AL,Marion,1093,2249,19,9696,80
AL,Marshall,1095,6271,19,25785,79
AL,Mobile,1097,78417,45,94566,54
AL,Monroe,1099,4897,46,5730,54
AL,Montgomery,1101,62993,62,38283,38
AL,Morgan,1103,13401,27,35309,72
AL,Perry,1105,4536,75,1504,25
AL,Pickens,1107,4448,46,5119,53
AL,Pike,1109,6009,43,7939,57
AL,Randolph,1111,3076,30,7219,70
AL,Russell,1113,10495,56,8276,44
AL,St. Clair,1115,5790,17,29001,83
AL,Shelby,1117,19944,22,71243,77
AL,Sumter,1119,5420,77,1585,23
AL,Talladega,1121,13878,42,19217,58
AL,Tallapoosa,1123,6252,34,12303,66
AL,Tuscaloosa,1125,32003,41,45703,58
AL,Walker,1127,6551,23,21633,76
AL,Washington,1129,2971,34,5749,66
AL,Wilcox,1131,4867,74,1676,26
AL,Winston,1133,1286,13,8310,86
AR,Arkansas,0,391953,37,643717,61
AR,Ashley,5003,2855,36,4866,62
AR,Baxter,5005,5172,27,13688,71
AR,Benton,5007,22144,29,53477,69
AR,Boone,5009,3762,25,11143,73
AR,Bradley,5011,1447,40,2118,58
AR,Calhoun,5013,660,30,1458,67
AR,Carroll,5015,3691,36,6121,60
AR,Chicot,5017,2649,61,1670,38
AR,Clark,5019,3808,45,4343,52
AR,Clay,5021,1738,34,3225,63
AR,Cleburne,5023,2618,23,8691,75
AR,Cleveland,5025,845,26,2313,71
AR,Columbia,5027,3557,38,5790,61
AR,Conway,5029,3003,39,4511,58
AR,Craighead,5031,10351,33,20044,64
AR,Crawford,5033,4872,24,15125,74
AR,Crittenden,5035,9092,59,6192,40
AR,Cross,5037,2279,34,4268,64
AR,Dallas,5039,1337,43,1664,54
AR,Desha,5041,2353,56,1807,43
AR,Drew,5043,2627,40,3883,59
AR,Faulkner,5045,13559,33,26653,65
AR,Franklin,5047,1725,26,4631,71
AR,Fulton,5049,1452,32,2949,65
AR,Garland,5051,13317,34,25031,64
AR,Grant,5053,1467,23,4829,75
AR,Greene,5055,3998,29,9066,66
AR,Hempstead,5057,2466,36,4284,62
AR,Hot Spring,5059,3824,34,7087,63
AR,Howard,5061,1460,33,2862,65
AR,Independence,5063,3279,27,8724,70
AR,Izard,5065,1563,29,3571,67
AR,Jackson,5067,2093,39,3065,57
AR,Jefferson,5069,17456,64,9515,35
AR,Johnson,5071,2785,35,5045,63
AR,Lafayette,5073,1173,40,1712,59
AR,Lawrence,5075,1786,32,3535,64
AR,Lee,5077,2107,62,1280,37
AR,Lincoln,5079,1424,38,2199,59
AR,Little River,5081,1552,31,3385,67
AR,Logan,5083,2009,27,5078,69
AR,Lonoke,5085,5612,23,17863,74
AR,Madison,5087,2099,32,4262,65
AR,Marion,5089,2024,29,4771,68
AR,Miller,5091,4518,30,10622,69
AR,Mississippi,5093,6445,48,6599,49
AR,Monroe,5095,1583,49,1585,49
AR,Montgomery,5097,920,27,2368,70
AR,Nevada,5099,1314,39,1996,59
AR,Newton,5101,993,27,2508,69
AR,Ouachita,5103,4626,45,5516,54
AR,Perry,5105,1187,30,2580,66
AR,Phillips,5107,5179,66,2591,33
AR,Pike,5109,850,22,2847,75
AR,Poinsett,5111,2387,32,4967,66
AR,Polk,5113,1556,20,5950,77
AR,Pope,5115,5108,25,14733,72
AR,Prairie,5117,877,28,2149,69
AR,Pulaski,5119,87055,55,68856,43
AR,Randolph,5121,2040,34,3699,62
AR,Saint Francis,5123,4652,58,3287,41
AR,Saline,5125,12868,27,32962,70
AR,Scott,5127,895,25,2630,72
AR,Searcy,5129,814,22,2699,73
AR,Sebastian,5131,13083,30,29158,67
AR,Sevier,5133,1042,24,3135,72
AR,Sharp,5135,2092,29,4920,68
AR,Stone,5137,1356,25,3773,71
AR,Union,5139,6182,36,10696,62
AR,Van Buren,5141,1826,28,4362,68
AR,Washington,5143,28136,40,39570,56
AR,White,5145,5765,22,20005,76
AR,Woodruff,5147,1340,50,1227,46
AR,Yell,5149,1720,29,4041,68
AZ,Arizona,0,900081,44,1107130,54
AZ,Apache,4001,16833,66,8198,32
AZ,Cochise,4003,16223,37,26742,61
AZ,Coconino,4005,26316,56,19368,41
AZ,Gila,4007,6650,36,11525,62
AZ,Graham,4009,3608,30,8076,68
AZ,Greenlee,4011,1310,44,1590,54
AZ,La Paz,4012,1619,33,3205,65
AZ,Maricopa,4013,512008,43,654835,55
AZ,Mohave,4015,18324,28,46442,70
AZ,Navajo,4017,16157,45,19155,54
AZ,Pima,4019,183470,52,162927,46
AZ,Pinal,4021,41428,41,58947,58
AZ,Santa Cruz,4023,9486,68,4235,31
AZ,Yavapai,4025,32624,34,62385,65
AZ,Yuma,4027,14025,41,19500,58
CA,California,0,6241648,59,4046524,38
CA,Alameda,6001,438091,79,104330,19
CA,Alpine,6003,389,60,236,37
CA,Amador,6005,6001,39,8903,58
CA,Butte,6007,32567,46,35312,50
CA,Calaveras,6009,7404,40,10537,57
CA,Colusa,6011,2248,38,3521,60
CA,Contra Costa,6013,230826,66,112547,32
CA,Del Norte,6015,3396,43,4256,54
CA,El Dorado,6017,34033,40,49661,58
CA,Fresno,6019,85862,48,91143,51
CA,Glenn,6021,3276,36,5608,61
CA,Humboldt,6023,27757,60,15653,34
CA,Imperial,6025,17464,64,9545,35
CA,Inyo,6027,2775,43,3541,55
CA,Kern,6029,64690,39,99840,59
CA,Kings,6031,12282,41,17184,57
CA,Lake,6033,9159,56,6474,40
CA,Lassen,6035,3044,29,7261,69
CA,Los Angeles,6037,1672164,69,699600,29
CA,Madera,6039,12698,39,18990,59
CA,Marin,6041,73450,74,23347,24
CA,Mariposa,6043,3080,40,4434,57
CA,Mendocino,6045,11869,66,5129,29
CA,Merced,6047,26128,52,23403,46
CA,Modoc,6049,1113,28,2779,70
CA,Mono,6051,2574,52,2202,45
CA,Monterey,6053,51712,66,25087,32
CA,Napa,6055,19964,62,11647,36
CA,Nevada,6057,14261,46,15696,51
CA,Orange,6059,457077,45,541592,53
CA,Placer,6061,49126,39,74460,59
CA,Plumas,6063,3670,40,5240,57
