County,Trump,Clinton,FIPS
Albany,"7,601","6,888",56001
Big Horn,"4,067",594,56003
Campbell,"15,778","1,324",56005
Carbon,"4,409","1,279",56007
Converse,"5,520",668,56009
Crook,"3,347",271,56011
Fremont,"11,167","4,200",56013
Goshen,"4,418",924,56015
Hot Springs,"1,939",400,56017
Johnson,"3,477",638,56019
Laramie,"24,844","11,572",56021
Lincoln,"6,779","1,105",56023
Natrona,"23,523","6,573",56025
Niobrara,"1,116",115,56027
Park,"11,115","2,535",56029
Platte,"3,437",719,56031
Sheridan,"10,266","2,926",56033
Sublette,"3,409",644,56035
Sweetwater,"12,153","3,233",56037
Teton,"3,920","7,313",56039
Uinta,"6,154","1,202",56041
Washakie,"2,911",532,56043
Weston,"2,898",294,56045
