FIPS Code,State,Area name,"Percent of adults with less than a high school diploma, 2010-2014","Percent of adults with a high school diploma only, 2010-2014","Percent of adults completing some college or associate's degree, 2010-2014","Percent of adults with a bachelor's degree or higher, 2010-2014"
37000,NC,North Carolina,14.6,26.9,30.8,27.8
37001,NC,Alamance County,17.4,28.8,32.8,21
37003,NC,Alexander County,19.3,39.5,28.2,13
37005,NC,Alleghany County,20.4,33.7,28.5,17.4
37007,NC,Anson County,21.7,41.3,26.2,10.7
37009,NC,Ashe County,19.3,31,31.1,18.6
37011,NC,Avery County,19.1,29.5,31.3,20.1
37013,NC,Beaufort County,18.6,31.4,32.2,17.8
37015,NC,Bertie County,25.1,38.1,25.7,11.1
37017,NC,Bladen County,22.6,32.6,33.3,11.5
37019,NC,Brunswick County,13.6,27.9,33.1,25.4
37021,NC,Buncombe County,10,25.2,29.7,35.1
37023,NC,Burke County,22.5,29.7,30.4,17.4
37025,NC,Cabarrus County,12.6,27.6,33.6,26.2
37027,NC,Caldwell County,24.1,32.2,30.3,13.4
37029,NC,Camden County,13.4,23.9,43.3,19.3
37031,NC,Carteret County,11.4,28,36.4,24.2
37033,NC,Caswell County,24.2,35.9,29.1,10.7
37035,NC,Catawba County,17.3,30.3,30.8,21.5
37037,NC,Chatham County,13.8,24.4,25.6,36.2
37039,NC,Cherokee County,17.6,31.3,32.7,18.4
37041,NC,Chowan County,17.1,32.7,29.3,20.9
37043,NC,Clay County,12.1,29.9,37.9,20.1
37045,NC,Cleveland County,17.7,34.1,31.7,16.5
37047,NC,Columbus County,20.4,30.5,36.4,12.7
37049,NC,Craven County,13.1,28.1,37.2,21.6
37051,NC,Cumberland County,10.6,26.3,40.2,22.9
37053,NC,Currituck County,15.3,31,34.5,19.2
37055,NC,Dare County,8.6,24.4,37.6,29.4
37057,NC,Davidson County,18.9,33.7,29.5,17.9
37059,NC,Davie County,14.6,31.8,28,25.6
37061,NC,Duplin County,28.6,29.7,31.3,10.4
37063,NC,Durham County,12.6,17.7,24.2,45.6
37065,NC,Edgecombe County,22.4,36.2,30.6,10.7
37067,NC,Forsyth County,13.2,26.1,28.5,32.1
37069,NC,Franklin County,18.3,32.5,31,18.2
37071,NC,Gaston County,18.2,29.4,33.9,18.5
37073,NC,Gates County,17.4,37.1,32.9,12.5
37075,NC,Graham County,20.2,32.5,30.7,16.6
37077,NC,Granville County,18,32.3,32,17.7
37079,NC,Greene County,23.8,32.5,34.1,9.7
37081,NC,Guilford County,11.8,25.5,29.1,33.7
37083,NC,Halifax County,23.5,35.9,28.7,11.9
37085,NC,Harnett County,15.3,30.7,35.1,18.9
37087,NC,Haywood County,13.5,28.8,33.9,23.8
37089,NC,Henderson County,11.6,26.9,33.2,28.3
37091,NC,Hertford County,23.4,31.5,30.7,14.3
37093,NC,Hoke County,15.7,27.4,38.5,18.4
37095,NC,Hyde County,20.5,37.8,30.5,11.2
37097,NC,Iredell County,13.1,28.4,33.4,25.1
37099,NC,Jackson County,13.6,27.2,29.9,29.3
37101,NC,Johnston County,16.1,29.8,34.1,20
37103,NC,Jones County,16.2,33.2,36.9,13.7
37105,NC,Lee County,18.5,27.8,33.5,20.2
37107,NC,Lenoir County,19.2,32,34.9,13.9
37109,NC,Lincoln County,17.1,29.6,33.4,19.9
37111,NC,McDowell County,18.8,37.1,30.3,13.9
37113,NC,Macon County,14.3,29.7,33.5,22.4
37115,NC,Madison County,19.7,32.6,27.5,20.3
37117,NC,Martin County,18.7,35.9,32.5,12.9
37119,NC,Mecklenburg County,11,19.2,28.3,41.5
37121,NC,Mitchell County,18.8,34.6,30.2,16.4
37123,NC,Montgomery County,25.5,28.8,30.8,14.9
37125,NC,Moore County,10,25.7,32.3,32
37127,NC,Nash County,16,34.6,31,18.4
37129,NC,New Hanover County,8.8,22.2,31.9,37.2
37131,NC,Northampton County,25.5,35,28.3,11.1
37133,NC,Onslow County,9.7,28.8,43,18.4
37135,NC,Orange County,8.1,15.7,20,56.2
37137,NC,Pamlico County,13.3,31.8,34.9,19.9
37139,NC,Pasquotank County,16,29.3,35.8,18.9
37141,NC,Pender County,14.1,31.6,32.7,21.6
37143,NC,Perquimans County,16.1,36.8,30.5,16.7
37145,NC,Person County,17.1,36.2,32.7,14
37147,NC,Pitt County,13.1,25.1,32.9,28.8
37149,NC,Polk County,11.6,28.4,30,30
37151,NC,Randolph County,20.9,35.3,29.7,14.1
37153,NC,Richmond County,19.4,36.6,30.9,13.1
37155,NC,Robeson County,27.1,32.6,27.9,12.4
37157,NC,Rockingham County,20.8,35.8,30.3,13.1
37159,NC,Rowan County,18.1,32.7,32,17.2
37161,NC,Rutherford County,18.6,31.6,33.3,16.4
37163,NC,Sampson County,25.8,33.7,28.3,12.1
37165,NC,Scotland County,22.2,35,27.8,15
37167,NC,Stanly County,18.4,33.3,32.6,15.6
37169,NC,Stokes County,19.5,38.4,28.6,13.6
37171,NC,Surry County,24,30.2,30.6,15.2
37173,NC,Swain County,18.3,31.9,34.4,15.3
37175,NC,Transylvania County,11.2,28.4,31.4,29
37177,NC,Tyrrell County,29.4,39.7,22.9,8
37179,NC,Union County,11.3,26.4,30,32.3
37181,NC,Vance County,22.5,36.5,28.3,12.7
37183,NC,Wake County,8.1,16.8,26.8,48.3
37185,NC,Warren County,22.7,34.6,27.5,15.2
37187,NC,Washington County,22.2,38.1,30.2,9.5
37189,NC,Watauga County,11.7,20.3,30,38
37191,NC,Wayne County,17.8,29.6,35.3,17.2
37193,NC,Wilkes County,25.7,32.6,28.8,12.9
37195,NC,Wilson County,20.9,32.8,27.9,18.4
37197,NC,Yadkin County,21.7,35.5,29.8,13
